epoch,acc,loss,lr,val_acc,val_loss
0,0.7802143096923828,0.6468775272369385,0.0002,0.12957923114299774,0.7957097291946411
1,0.8334992527961731,0.48123130202293396,0.0002,0.81062251329422,0.7970316410064697
2,0.8553556799888611,0.35465243458747864,0.0002,0.8106140494346619,0.7965845465660095
3,0.863879919052124,0.271955281496048,0.0002,0.2846716046333313,0.7953842282295227
4,0.8674966096878052,0.2236943244934082,0.0002,0.23852676153182983,0.7949520945549011
5,0.8696750402450562,0.18926742672920227,0.0002,0.2766794264316559,0.8101241588592529
6,0.8703319430351257,0.16445283591747284,0.0002,0.6874578595161438,0.8294259905815125
7,0.8701933026313782,0.14567500352859497,0.0002,0.810603141784668,0.8627910614013672
8,0.8713667392730713,0.12728498876094818,0.0002,0.8032085299491882,0.8806331157684326
9,0.872080385684967,0.11538815498352051,0.0002,0.8066847920417786,0.8957164883613586
10,0.8723077178001404,0.10822243988513947,0.0002,0.810603141784668,0.9252671599388123
11,0.8728488087654114,0.10056483000516891,0.0002,0.8104660511016846,0.9245103001594543
12,0.873278796672821,0.0948314517736435,0.0002,0.685325026512146,0.8598729968070984
13,0.8734686970710754,0.09132813662290573,0.0002,0.8109344840049744,0.9150917530059814
14,0.8734766840934753,0.08906809240579605,0.0002,0.8110121488571167,0.9258491396903992
15,0.8734723925590515,0.08942212909460068,2e-05,0.8114387392997742,0.9282991290092468
16,0.8746851086616516,0.08073045313358307,2e-05,0.8134667873382568,0.8724279999732971
17,0.8750379085540771,0.07860472053289413,2e-05,0.8170949220657349,0.8025161623954773
18,0.8752855658531189,0.07704440504312515,2e-05,0.8219283223152161,0.730312168598175
19,0.8754952549934387,0.07571540772914886,2e-05,0.8272916674613953,0.6614418029785156
20,0.8756923675537109,0.07449059188365936,2e-05,0.832835853099823,0.594407320022583
21,0.8758851289749146,0.07329873740673065,2e-05,0.8388585448265076,0.524366557598114
22,0.8760741353034973,0.07216532528400421,2e-05,0.8444494009017944,0.4555603861808777
23,0.8762127757072449,0.0711626335978508,2e-05,0.8496959209442139,0.39038291573524475
24,0.876352071762085,0.07019636780023575,2e-05,0.8539674878120422,0.33568036556243896
25,0.8764848709106445,0.06925264745950699,2e-05,0.8582223653793335,0.28878214955329895
26,0.8766204118728638,0.06832210719585419,2e-05,0.8627310395240784,0.2476390153169632
27,0.8767547607421875,0.06738056242465973,2e-05,0.8676343560218811,0.210183247923851
28,0.8768781423568726,0.06650367379188538,2e-05,0.872702956199646,0.17526604235172272
29,0.8769699931144714,0.06570091098546982,2e-05,0.8771922588348389,0.14664806425571442
30,0.8770653009414673,0.06491557508707047,2e-05,0.8802499175071716,0.12698018550872803
31,0.8771512508392334,0.06417019665241241,2e-05,0.8818796873092651,0.11586171388626099
32,0.8772448897361755,0.0634215921163559,2e-05,0.8829664587974548,0.10870253294706345
33,0.877338707447052,0.06264525651931763,2e-05,0.8833035230636597,0.10561561584472656
34,0.8774127960205078,0.06196051836013794,2e-05,0.8835863471031189,0.10371242463588715
35,0.8775010704994202,0.06122744083404541,2e-05,0.8837699294090271,0.10189708322286606
36,0.8775413632392883,0.0607440210878849,2e-05,0.8837792873382568,0.10186843574047089
37,0.8776023983955383,0.060169320553541183,2e-05,0.8838432431221008,0.101166732609272
38,0.8776531219482422,0.059591617435216904,2e-05,0.8839762806892395,0.10020802170038223
39,0.8777287602424622,0.059010524302721024,2e-05,0.8837009072303772,0.10162542760372162
40,0.8777438402175903,0.058572761714458466,2e-05,0.8839131593704224,0.09989400207996368
41,0.8777932524681091,0.058090437203645706,2e-05,0.8839091062545776,0.09992127120494843
42,0.8778243064880371,0.057673726230859756,2e-05,0.8835417628288269,0.10214756429195404
43,0.8777961134910583,0.05759618803858757,2e-05,0.8840357065200806,0.09915519505739212
44,0.8778772950172424,0.05695091933012009,2e-05,0.88372802734375,0.10094737261533737
45,0.877913236618042,0.056447312235832214,2e-05,0.8837680816650391,0.10095341503620148
46,0.8779084086418152,0.056241657584905624,2e-05,0.8839095234870911,0.09932008385658264
47,0.8779056668281555,0.05617523938417435,2e-05,0.8833886981010437,0.10222053527832031
48,0.8778607845306396,0.0561925433576107,2e-05,0.8835086822509766,0.10166530311107635
49,0.8777902126312256,0.05646095052361488,2e-05,0.8833547830581665,0.10224560648202896
50,0.8777914643287659,0.05634487792849541,2e-05,0.8832827806472778,0.10152214765548706
51,0.8777481913566589,0.056239183992147446,2e-05,0.883988082408905,0.09691525250673294
52,0.8778467178344727,0.055481646209955215,2e-05,0.8840730786323547,0.09653400629758835
53,0.8780375123023987,0.05414094775915146,2e-05,0.8841170072555542,0.09664911031723022
54,0.8781597018241882,0.05325448513031006,2e-05,0.883988082408905,0.0968630239367485
55,0.878302812576294,0.05227036401629448,2e-05,0.8834588527679443,0.09980639070272446
56,0.878264307975769,0.05223214998841286,2e-05,0.8829839825630188,0.10284347832202911
57,0.8781365752220154,0.05291139706969261,2e-05,0.8827863335609436,0.10376139730215073
58,0.8780720829963684,0.0531688928604126,2e-05,0.8826515078544617,0.10539734363555908
59,0.8779891133308411,0.05344743654131889,2e-05,0.8830111026763916,0.10339394956827164
60,0.8778955340385437,0.053936850279569626,2e-05,0.883560836315155,0.09909302741289139
61,0.877921462059021,0.053378935903310776,2e-05,0.8839835524559021,0.09679344296455383
62,0.8778159022331238,0.05400701239705086,2e-05,0.8835517764091492,0.09922615438699722
63,0.8769282102584839,0.058896034955978394,2e-06,0.8840004205703735,0.09560848027467728
64,0.8781303763389587,0.05161549523472786,2e-06,0.8838494420051575,0.09666750580072403
65,0.8784012198448181,0.050128597766160965,2e-06,0.8838052153587341,0.09701485186815262
66,0.8784986138343811,0.04957370087504387,2e-06,0.883797287940979,0.09700120985507965
67,0.8785646557807922,0.049186620861291885,2e-06,0.883800208568573,0.09696929901838303
68,0.8786163330078125,0.048877134919166565,2e-06,0.8838015794754028,0.0969545990228653
69,0.8786598443984985,0.048619162291288376,2e-06,0.8837988376617432,0.0969451516866684
70,0.8786947727203369,0.04839932173490524,2e-06,0.8838004469871521,0.09694499522447586
71,0.8787250518798828,0.04820871725678444,2e-06,0.8837945461273193,0.09695322066545486
72,0.8787487745285034,0.048040613532066345,2e-06,0.8837913274765015,0.09696808457374573
73,0.8787717223167419,0.047890421003103256,2e-06,0.8837810754776001,0.09698625653982162
74,0.8787956833839417,0.047744978219270706,2e-07,0.8837769627571106,0.09700552374124527
75,0.8787972331047058,0.04773249849677086,2e-07,0.8837763071060181,0.09702382981777191
76,0.878799319267273,0.04771984741091728,2e-07,0.8837726712226868,0.09703834354877472
77,0.8788014650344849,0.04770726338028908,2e-07,0.8837701678276062,0.09704998880624771
78,0.8788037896156311,0.04769463837146759,2e-07,0.883769690990448,0.09705926477909088
79,0.8788060545921326,0.04768207669258118,2e-07,0.8837687969207764,0.09706669300794601
80,0.8788079619407654,0.04766947031021118,2e-07,0.8837683200836182,0.09707294404506683
81,0.878810465335846,0.04765687510371208,2e-07,0.8837669491767883,0.09707815200090408
82,0.8788115978240967,0.04764425754547119,2e-07,0.8837651610374451,0.09708280861377716
83,0.8788133859634399,0.0476316474378109,2e-07,0.8837642669677734,0.09708677977323532
